Student_ID,Age,Gender,Study_Hours_Per_Day,Sleep_Hours_Per_Night,Screen_Time_Hours,Social_Media_Hours,Attendance_Percentage,Assignments_Completed,Class_Participation_Score,Physical_Activity_Hours_Per_Week,Stress_Level,Motivation_Level,Internet_Quality,Part_Time_Job,Extracurricular_Involvement,AI_Tool_Usage_Hours_Per_Week,Previous_Semester_GPA,Productivity_Score,Performance_Category
1,19.0,Male,2.6,5.9,7.4,2.8,86.3,75.1,3.8,2.8,1.4,6.3,Poor,No,4.9,16.4,5.88,51.16,Medium
2,25.0,Male,5.4,6.4,6.4,4.1,93.3,99.6,7.9,0.5,8.3,8.2,Good,No,3.9,2.1,6.62,74.1,High
3,22.0,Male,6.8,5.5,7.4,4.3,66.3,75.6,4.0,1.7,9.3,4.1,Average,No,4.9,3.6,7.11,34.63,Low
4,21.0,Female,1.7,8.0,6.2,2.4,62.8,51.9,3.0,2.5,2.5,10.0,Poor,No,2.8,8.5,6.85,53.2,Medium
5,17.0,Male,7.6,6.2,4.3,3.7,87.9,37.0,8.8,3.3,6.1,8.0,Average,No,4.5,5.3,5.86,57.4,Medium
6,17.0,Female,3.9,3.0,3.2,2.2,78.0,87.1,2.5,3.9,,1.8,Average,Yes,8.0,2.9,9.83,25.82,Low
7,16.0,Male,2.2,10.0,5.3,5.4,91.2,63.2,7.7,,2.6,6.4,,Yes,5.9,4.1,6.83,66.65,High
8,23.0,Female,5.7,6.3,4.1,2.4,94.1,65.6,5.2,9.0,1.0,3.3,Poor,No,6.4,3.0,7.62,66.45,High
9,21.0,Female,3.3,6.3,5.7,2.6,55.9,94.4,7.5,8.5,5.0,5.8,Poor,No,5.6,2.2,7.84,65.59,High
10,22.0,Female,4.0,9.2,4.8,2.2,69.1,72.6,6.6,6.9,5.7,1.0,Good,No,7.9,0.4,5.11,47.47,Medium
11,16.0,Female,3.4,5.4,7.0,1.7,78.4,69.6,1.4,0.5,8.3,3.0,Good,Yes,4.5,2.3,9.14,30.44,Low
12,25.0,Female,2.6,8.5,6.1,6.7,66.7,77.9,5.3,2.4,10.0,5.9,Average,Yes,4.1,10.1,5.64,41.28,Low
13,23.0,Female,5.6,6.2,7.1,3.9,73.9,100.0,5.5,5.1,7.0,4.9,Good,No,4.0,4.6,4.3,46.92,Medium
14,18.0,Male,3.6,5.3,7.1,3.1,63.4,79.6,6.9,0.9,1.7,8.3,Poor,No,2.2,5.2,4.51,43.24,Low
15,18.0,Female,1.3,9.2,5.6,2.1,74.3,36.1,6.7,2.5,6.5,5.1,Poor,No,3.6,6.0,4.86,38.72,Low
16,18.0,Male,5.3,8.2,5.7,5.0,67.4,60.3,5.5,2.1,5.2,7.0,Average,No,7.5,5.2,5.21,57.69,Medium
17,19.0,Male,1.8,8.2,7.3,2.0,84.5,69.9,3.5,3.3,7.6,8.7,Good,No,2.4,7.3,6.67,50.93,Medium
18,20.0,Male,1.9,7.5,12.1,3.2,91.7,90.5,7.1,2.1,1.3,3.0,Average,No,3.9,2.6,8.0,58.22,Medium
19,20.0,Male,6.6,7.8,3.5,7.0,85.3,52.6,7.9,2.3,7.5,3.6,Poor,No,6.4,6.6,6.02,49.07,Medium
20,19.0,Male,1.8,5.4,6.1,1.3,100.0,77.7,6.7,3.0,9.0,4.6,Average,No,3.8,10.2,6.44,46.8,Medium
21,21.0,Male,0.0,7.1,3.0,4.0,92.2,73.5,5.5,0.9,6.0,5.8,Good,No,3.7,4.3,,50.89,Medium
22,17.0,Male,5.4,5.8,5.9,3.5,91.7,93.3,5.2,2.1,8.1,7.5,Average,No,5.1,,5.84,60.43,Medium
23,19.0,Female,3.6,5.2,4.3,4.0,78.9,57.1,4.0,1.3,7.2,2.8,Average,No,6.0,8.3,7.11,29.06,Low
